06:00,6:30
06:15,6:45
06:30,7:00
06:45,7:15
07:00,7:30
07:15,7:45
07:30,8:00
07:45,8:15
08:00,8:30
08:15,8:45
08:30,9:00
08:45,9:15
09:00,9:30
09:15,9:45
09:30,10:00
09:45,10:15
10:00,10:30
10:15,10:45
10:30,11:00
10:45,11:15
11:00,11:30
11:15,11:45
11:30,12:00
11:45,12:15
12:00,12:30
12:15,12:45
12:30,13:00
12:45,13:15
13:00,13:30
13:15,13:45
13:30,14:00
13:45,14:15
14:00,14:30
14:15,14:45
14:30,15:00
14:45,15:15
15:00,15:30
15:15,15:45
15:30,16:00
15:45,16:15
16:00,16:30
16:15,16:45
16:30,17:00
16:45,17:15
18:15,18:45
18:30,19:00
18:45,19:15
19:00,19:30
19:15,19:45
19:30,20:00
19:45,20:15
20:00,20:30
20:15,20:45
20:30,21:00
20:45,21:15
21:00,21:30
21:15,21:45
21:30,22:00
21:45,22:15
22:00,22:30
22:15,22:45
22:30,23:00
22:45,23:15
